User_ID,Country,Age,Gender,Occupation,Education_Level,Income_USD,Daily_Usage_Hours,Phone_Checks_Per_Day,Time_on_Social_Media,Time_on_Gaming,Streaming_Usage_Hours,Messaging_Usage_Hours,Work_Related_Usage_Hours,Sleep_Hours,Exercise_Hours,Mental_Health_Score,Depression_Level,Anxiety_Level,Stress_Level,Relationship_Status,Has_Children,Urban_or_Rural,Time_Spent_With_Family_Hours,Online_Shopping_Hours,Internet_Connection_Type,Primary_Device_Brand,Has_Screen_Time_Management_App,Addiction_Level,Monthly_Data_Usage_GB,Has_Night_Mode_On,Age_First_Phone,Push_Notifications_Per_Day,Tech_Savviness_Score,source_dataset
10016,Japan,58,Male,Artist,High School,33600.33,4.68,108,2.43,1.86,4.63,2.34,1.32,6.21,1.11,80.67,0.5,4.2,16.43,Single,Yes,Rural,1.09,0.33,5G,Xiaomi,No,9.5,7.12,Yes,16,93,7.82,global_mobile
10017,USA,51,Other,Manager,,41764.15,8.19,47,1.29,1.72,1.44,1.16,2.72,6.34,0.35,99.02,3.9,4.2,77.2,In Relationship,Yes,Rural,1.64,0.37,WiFi,Xiaomi,No,5.5,23.55,Yes,12,149,10.65,global_mobile
10018,Mexico,18,Male,Doctor,PhD,40513.1,6.06,68,1.38,0.0,1.27,1.99,2.46,6.68,1.07,61.56,5.2,4.9,41.25,In Relationship,No,Urban,2.33,0.9,4G,Xiaomi,No,9.5,31.2,No,13,12,47.86,global_mobile
10019,USA,33,Male,Manager,,6521.03,5.79,47,0.0,0.34,1.88,1.23,1.11,4.86,1.11,28.44,3.0,1.5,16.75,Married,Yes,Rural,0.0,0.77,WiFi,Xiaomi,No,9.5,41.45,Yes,11,99,14.92,global_mobile
10020,India,22,Other,Manager,PhD,40098.41,5.64,99,2.87,0.51,2.44,1.11,4.06,6.29,0.77,34.91,6.5,7.6,72.57,Married,Yes,Rural,1.55,1.05,3G,Xiaomi,Yes,9.5,21.51,Yes,20,52,63.38,global_mobile
10021,UK,67,Female,Manager,Master's,0.0,5.85,55,2.2,0.11,1.7,0.44,3.1,7.27,0.46,24.76,1.4,4.3,29.0,Divorced,No,Urban,1.84,0.61,4G,OnePlus,No,7.5,26.45,Yes,18,40,13.4,global_mobile
10022,UK,15,Male,Unemployed,Master's,32969.28,6.28,129,1.39,2.58,1.65,1.82,2.63,6.58,1.12,71.66,9.9,7.9,62.92,In Relationship,No,Rural,0.04,0.31,5G,Samsung,Yes,7.5,32.38,No,18,124,15.88,global_mobile
10023,UK,12,Male,Unemployed,PhD,26712.11,4.43,77,1.25,0.81,1.11,1.58,2.45,4.43,1.27,24.99,8.5,8.4,64.97,In Relationship,Yes,Urban,3.18,2.45,3G,Apple,No,9.5,29.83,Yes,16,125,71.33,global_mobile
10024,Nigeria,47,Other,Unemployed,PhD,21716.65,4.58,94,3.55,2.35,0.58,1.9,2.13,5.93,1.11,63.32,3.1,1.6,78.69,Single,No,Rural,1.84,0.63,3G,Samsung,No,5.5,42.61,Yes,14,193,23.43,global_mobile
10025,Germany,59,Female,Unemployed,PhD,9842.34,8.01,109,0.84,1.82,1.55,1.8,0.57,4.92,0.53,75.96,7.3,5.9,56.49,In Relationship,No,Urban,2.36,0.81,4G,OnePlus,Yes,9.5,44.71,Yes,10,102,88.11,global_mobile
10026,Russia,14,Female,Doctor,High School,13479.02,0.0,124,2.58,0.22,1.15,1.9,0.81,6.71,0.31,42.89,3.2,0.4,45.07,Married,No,Urban,2.52,1.15,5G,Other,No,7.5,21.46,Yes,15,100,67.37,global_mobile
10027,India,17,Female,Unemployed,High School,56916.82,7.96,21,2.48,1.25,3.64,1.13,0.29,5.76,0.58,23.22,2.9,6.8,31.97,Single,No,Urban,1.86,1.32,WiFi,Other,Yes,7.5,33.24,Yes,16,81,27.39,global_mobile
10028,China,18,Male,Unemployed,High School,9879.63,4.42,79,1.3,3.61,1.52,1.43,1.93,4.39,1.65,94.47,7.2,2.3,37.18,In Relationship,Yes,Urban,0.46,1.24,4G,Apple,Yes,7.5,35.65,Yes,13,110,20.23,global_mobile
10029,Japan,16,Female,Teacher,PhD,24063.91,5.36,86,1.94,1.09,1.76,0.63,0.25,5.92,0.7,22.59,3.4,5.2,97.24,Divorced,No,Urban,0.92,1.12,4G,OnePlus,No,7.5,31.07,No,16,80,60.18,global_mobile
10030,UK,54,Female,Teacher,PhD,30169.2,4.15,90,0.56,0.0,1.93,0.76,5.0,6.7,1.37,89.2,2.3,1.8,40.77,In Relationship,No,Urban,2.49,0.85,5G,Samsung,Yes,7.5,30.12,Yes,16,113,29.02,global_mobile
10031,Russia,46,Female,Unemployed,High School,42586.1,10.78,42,3.4,2.39,2.24,1.06,0.75,6.35,0.26,67.33,0.3,8.7,97.16,Divorced,Yes,Rural,1.43,0.47,3G,Huawei,Yes,9.5,20.09,No,8,48,25.3,global_mobile
10032,China,18,Female,Engineer,Bachelor's,9612.64,4.27,105,0.47,1.87,2.34,1.44,1.55,5.48,0.26,36.6,4.6,0.1,36.4,Single,Yes,Urban,2.36,0.95,WiFi,Xiaomi,No,9.5,31.13,Yes,11,97,93.39,global_mobile
10033,USA,40,Male,Salesperson,Bachelor's,36207.99,7.94,65,0.61,1.54,3.28,0.9,2.89,6.25,0.55,18.91,9.7,5.6,75.19,In Relationship,Yes,Rural,2.11,0.96,WiFi,Apple,No,9.5,9.38,Yes,20,125,11.8,global_mobile
10034,Nigeria,17,Female,Student,Bachelor's,31923.16,6.01,95,2.4,2.31,1.83,1.15,2.13,4.71,0.98,82.92,1.7,9.6,64.49,Divorced,Yes,Rural,2.29,1.24,WiFi,Apple,No,7.5,14.3,No,8,116,59.43,global_mobile
10035,Nigeria,50,Female,Salesperson,Master's,23504.44,5.26,105,2.16,2.41,2.47,0.63,2.06,6.57,2.0,80.94,2.9,1.7,65.33,Single,No,Urban,1.24,1.18,5G,Xiaomi,No,5.5,28.07,No,10,70,54.43,global_mobile
10036,UK,18,Other,Manager,Bachelor's,29571.43,3.89,61,1.17,0.34,1.4,2.79,2.58,7.26,1.17,66.65,7.8,6.3,24.48,Divorced,No,Urban,2.26,0.64,5G,Other,Yes,2.5,17.6,No,13,107,47.43,global_mobile
10037,UK,54,Other,Teacher,PhD,35539.71,5.17,7,3.29,0.0,0.04,1.52,3.05,5.07,1.63,57.16,7.1,7.8,95.05,In Relationship,Yes,Urban,0.87,2.04,3G,Samsung,Yes,7.5,24.14,No,11,166,80.0,global_mobile
10038,Mexico,59,Other,Unemployed,High School,24786.22,6.01,16,4.17,0.7,4.16,1.51,1.95,6.38,1.22,61.62,2.4,0.6,72.13,Single,No,Urban,1.15,0.44,3G,Xiaomi,Yes,9.5,38.26,No,14,124,11.56,global_mobile
10039,Germany,49,Female,Doctor,Master's,25684.77,6.45,107,1.81,0.71,1.23,2.17,2.38,5.63,1.48,1.02,6.7,7.5,8.49,Divorced,No,Urban,1.17,0.87,4G,OnePlus,No,7.5,22.68,Yes,15,50,88.27,global_mobile
10040,UK,47,Other,Doctor,Bachelor's,23753.87,4.56,115,1.83,0.31,1.66,1.25,1.62,7.09,1.41,26.41,3.6,7.2,98.84,In Relationship,Yes,Rural,0.91,0.65,5G,Xiaomi,No,2.5,42.36,Yes,15,61,82.6,global_mobile
10041,Germany,38,Female,Teacher,,43091.25,4.88,85,3.66,0.0,2.25,1.66,1.56,5.72,1.36,58.5,4.3,6.4,99.88,Married,No,Rural,0.19,0.0,4G,Xiaomi,No,9.5,22.04,No,9,111,67.72,global_mobile
10042,India,17,Male,Manager,PhD,13863.74,5.56,58,2.67,1.92,3.25,2.16,1.37,5.67,1.54,78.56,3.4,9.0,63.77,In Relationship,No,Rural,1.94,1.59,4G,Xiaomi,No,9.5,34.47,Yes,18,28,29.77,global_mobile
10043,Nigeria,47,Male,Artist,Master's,28528.62,9.18,88,2.81,1.21,3.73,2.01,2.57,6.09,1.18,79.83,4.6,9.8,76.86,Married,No,Rural,1.54,1.14,WiFi,Other,No,7.5,25.39,No,19,160,58.95,global_mobile
10044,USA,62,Male,Student,High School,62484.72,6.87,53,2.69,2.99,1.73,1.26,2.0,5.68,1.07,55.67,5.7,8.1,65.26,Single,No,Urban,3.4,0.47,3G,Apple,Yes,7.5,17.15,Yes,18,89,40.94,global_mobile
10045,Germany,42,Male,Salesperson,,42534.62,7.72,108,0.72,0.48,4.21,1.73,0.81,7.42,2.19,63.37,7.2,9.6,89.11,In Relationship,Yes,Rural,2.54,1.56,WiFi,Xiaomi,No,9.5,28.43,No,15,139,10.96,global_mobile
10046,Russia,34,Male,Unemployed,,48243.73,5.45,109,2.15,2.12,2.05,1.98,2.28,6.73,0.95,14.52,7.4,8.1,95.95,Single,No,Urban,1.59,0.77,4G,Xiaomi,Yes,2.5,22.1,Yes,17,63,58.83,global_mobile
10047,Mexico,66,Female,Student,Master's,26120.83,9.69,83,1.24,1.58,1.85,2.15,0.61,6.76,0.96,75.76,0.9,1.3,32.51,Divorced,Yes,Urban,2.64,1.56,5G,Other,Yes,7.5,43.65,Yes,11,75,89.02,global_mobile
10048,China,32,Male,Unemployed,PhD,10927.61,7.23,77,2.07,0.66,3.28,0.66,2.61,6.71,0.83,92.29,9.1,1.1,34.39,Single,Yes,Rural,0.03,0.66,WiFi,Other,Yes,7.5,13.82,No,14,68,44.07,global_mobile
10049,UK,46,Male,Student,Bachelor's,12708.12,9.25,65,2.59,0.99,0.74,1.09,0.95,4.96,0.49,47.99,3.1,8.2,55.28,Divorced,Yes,Rural,0.01,0.89,5G,Huawei,Yes,5.5,15.6,Yes,15,120,86.55,global_mobile
10050,Brazil,27,Female,Salesperson,Master's,52830.16,4.56,98,1.34,3.93,3.21,1.65,1.86,6.23,1.18,80.13,4.0,9.5,42.98,Single,Yes,Urban,0.32,1.01,3G,OnePlus,Yes,7.5,30.48,Yes,8,82,55.6,global_mobile
10051,China,37,Female,Doctor,Bachelor's,50032.14,6.17,54,3.43,1.07,1.67,1.94,1.28,7.97,0.77,65.88,0.9,0.2,76.9,Divorced,Yes,Urban,1.15,1.14,4G,Huawei,Yes,7.5,24.92,Yes,14,92,59.2,global_mobile
10052,China,25,Male,Teacher,High School,31163.24,6.53,75,1.52,0.0,0.0,1.34,1.96,7.56,1.76,21.55,1.4,4.2,2.16,In Relationship,No,Urban,0.98,0.44,3G,Xiaomi,Yes,7.5,11.21,Yes,19,116,76.07,global_mobile
10053,Mexico,57,Other,Teacher,PhD,35511.04,6.44,49,1.77,0.89,1.81,0.94,3.66,6.51,0.0,65.48,4.1,8.2,58.22,Divorced,Yes,Rural,1.57,1.34,3G,Other,No,7.5,24.3,Yes,17,144,85.57,global_mobile
10054,UK,31,Male,Student,High School,38344.74,8.83,120,0.99,1.03,2.06,1.14,2.06,6.1,0.43,66.24,3.7,9.0,70.19,Divorced,No,Rural,0.93,1.13,WiFi,Samsung,Yes,9.5,24.13,No,13,126,7.09,global_mobile
10055,Brazil,34,Male,Doctor,High School,28172.69,9.2,30,2.71,0.24,1.65,1.88,2.37,8.51,0.65,36.67,6.6,4.6,59.98,Single,No,Urban,0.0,0.76,4G,Samsung,No,9.5,8.5,No,11,152,43.01,global_mobile
10056,China,16,Other,Unemployed,,22885.39,5.1,69,2.82,2.06,1.93,0.75,1.57,6.98,1.24,88.38,3.0,4.8,98.91,Divorced,No,Rural,2.92,0.98,3G,Apple,No,7.5,37.69,No,8,59,37.46,global_mobile
10057,Russia,21,Female,Doctor,PhD,50990.32,5.63,60,0.0,1.09,3.39,2.25,2.62,7.06,1.03,7.33,7.1,6.9,62.79,Single,No,Rural,1.44,0.88,4G,Xiaomi,No,5.5,25.95,No,14,84,53.32,global_mobile
10058,UK,25,Female,Doctor,High School,24001.72,5.09,64,4.05,2.61,0.0,1.62,1.15,4.94,0.5,31.06,6.3,3.9,30.55,Married,Yes,Rural,2.63,1.9,WiFi,Huawei,No,7.5,21.62,No,20,107,90.12,global_mobile
10059,Germany,25,Other,Unemployed,High School,59738.4,3.2,69,3.31,1.78,2.24,1.15,1.74,6.94,0.33,62.13,1.6,4.7,49.47,Married,No,Rural,1.45,1.46,5G,Apple,No,2.5,32.37,Yes,18,67,23.12,global_mobile
10060,Brazil,59,Other,Manager,High School,16298.43,5.25,91,1.85,0.0,0.59,1.22,2.27,5.9,1.5,50.48,3.1,3.8,70.9,In Relationship,No,Urban,2.21,0.58,4G,Apple,Yes,7.5,29.65,No,16,58,34.4,global_mobile
10061,Japan,14,Other,Doctor,High School,21647.36,7.28,101,1.19,2.02,0.65,2.23,3.13,7.51,0.0,30.22,5.3,6.5,34.35,In Relationship,Yes,Rural,1.73,0.94,WiFi,Huawei,No,9.5,35.58,No,12,76,86.85,global_mobile
10062,Brazil,50,Male,Unemployed,High School,28480.64,4.63,118,3.4,4.86,1.97,2.31,0.8,6.26,0.33,65.63,1.4,4.6,87.64,Single,Yes,Rural,1.97,0.64,5G,Samsung,No,2.5,19.01,No,13,122,10.24,global_mobile
10063,Brazil,42,Male,Unemployed,Bachelor's,34912.73,5.99,87,0.0,1.43,2.78,1.68,0.34,8.21,0.25,61.22,7.6,8.3,45.3,Married,Yes,Rural,1.99,0.61,5G,Samsung,No,5.5,16.92,No,12,74,71.71,global_mobile
10064,China,23,Female,Student,High School,40365.08,5.22,74,2.7,0.41,0.0,0.76,0.17,6.56,0.06,13.94,0.6,6.6,14.5,Married,No,Rural,1.64,1.43,5G,OnePlus,Yes,7.5,12.46,Yes,18,99,5.36,global_mobile
10065,UK,55,Female,Doctor,High School,11564.19,6.72,63,0.25,1.1,0.0,1.81,1.29,5.24,0.19,29.64,4.7,4.0,6.84,Married,Yes,Urban,0.65,0.48,4G,Samsung,No,7.5,29.67,Yes,14,119,94.71,global_mobile
10066,Brazil,50,Male,Unemployed,PhD,38790.85,6.58,114,1.79,1.0,0.93,1.27,0.04,4.84,0.0,93.9,0.7,0.4,83.94,Single,Yes,Rural,0.0,0.87,4G,OnePlus,No,2.5,42.12,No,20,90,44.54,global_mobile
10067,Japan,59,Male,Doctor,,47005.77,8.95,105,1.05,1.96,1.17,1.92,4.96,5.22,1.33,31.85,7.3,4.2,56.05,Divorced,No,Rural,2.27,1.18,3G,Apple,Yes,5.5,29.23,Yes,15,74,75.53,global_mobile
10068,Mexico,55,Female,Salesperson,Bachelor's,9517.08,6.12,77,3.24,2.05,0.72,0.86,2.08,6.63,0.69,52.36,4.5,8.4,16.22,Single,Yes,Rural,1.63,0.41,3G,OnePlus,No,2.5,8.02,Yes,16,91,93.7,global_mobile
10069,Nigeria,13,Female,Unemployed,Master's,155.29,6.81,63,4.07,0.89,0.67,1.43,1.9,7.07,0.85,94.57,8.2,1.1,18.05,In Relationship,No,Urban,1.95,0.81,3G,OnePlus,Yes,7.5,1.95,No,9,114,9.58,global_mobile
10070,Brazil,39,Female,Student,,20238.23,4.09,84,2.99,0.55,1.73,1.35,1.2,7.22,1.16,27.86,5.0,6.6,67.93,In Relationship,Yes,Rural,1.5,0.75,3G,OnePlus,No,7.5,33.77,Yes,8,105,21.08,global_mobile
10071,UK,65,Other,Doctor,PhD,48786.48,4.27,50,1.89,2.75,2.68,1.5,3.78,7.57,0.7,87.39,8.2,3.8,38.73,Married,Yes,Rural,0.67,0.16,WiFi,Huawei,No,2.5,19.81,Yes,14,101,11.0,global_mobile
10072,Russia,44,Male,Manager,High School,39615.51,9.74,78,3.01,1.5,2.25,1.31,1.46,8.08,1.55,7.9,6.4,7.8,68.99,Divorced,No,Urban,0.72,0.8,4G,OnePlus,No,9.5,34.63,No,14,48,80.59,global_mobile
10073,China,16,Male,Teacher,High School,0.0,6.28,101,2.08,1.34,2.26,1.34,0.59,5.48,1.93,77.04,5.6,5.4,27.69,Single,No,Rural,0.69,0.3,4G,Apple,Yes,9.5,19.04,Yes,13,145,15.07,global_mobile
10074,UK,47,Other,Manager,Master's,44849.63,4.07,46,2.28,1.09,2.98,1.15,0.57,6.98,1.03,62.33,1.0,6.3,63.99,In Relationship,Yes,Rural,1.4,1.06,WiFi,Apple,Yes,9.5,24.22,No,16,126,38.17,global_mobile
10075,Japan,29,Male,Artist,,35015.0,3.71,89,3.17,3.63,1.5,1.45,0.29,5.45,0.58,64.9,4.0,8.6,35.29,Single,Yes,Rural,2.03,0.72,5G,OnePlus,Yes,2.5,19.58,No,8,107,72.55,global_mobile
10076,USA,29,Male,Manager,Master's,31616.51,7.7,122,3.59,1.33,1.7,1.84,0.56,6.25,0.88,55.45,2.5,6.3,56.5,Married,Yes,Urban,1.87,0.82,4G,Huawei,No,5.5,13.8,Yes,16,139,65.71,global_mobile
10077,China,38,Female,Doctor,High School,29280.66,4.63,94,1.13,0.79,3.15,1.13,2.71,7.16,0.74,88.53,4.3,6.5,46.61,Divorced,No,Rural,1.78,0.9,5G,Other,Yes,7.5,28.34,Yes,15,99,32.92,global_mobile
10078,Japan,68,Female,Artist,Bachelor's,33812.35,9.6,56,1.56,1.24,1.35,0.9,1.69,6.81,0.72,53.56,9.7,2.1,89.63,Married,No,Urban,1.78,0.78,3G,Samsung,No,7.5,31.51,No,19,105,90.51,global_mobile
10079,USA,63,Other,Doctor,High School,34178.38,5.22,100,0.79,0.36,2.05,1.41,1.8,7.09,0.0,94.09,2.3,0.8,60.8,In Relationship,Yes,Rural,1.42,0.65,WiFi,OnePlus,Yes,2.5,20.69,Yes,18,104,73.33,global_mobile
10080,Brazil,41,Female,Teacher,Master's,56991.84,5.99,72,1.75,1.33,0.36,2.18,2.47,6.58,1.2,22.03,9.3,7.8,65.72,In Relationship,Yes,Rural,1.22,0.52,3G,Apple,Yes,9.5,20.12,No,8,71,71.11,global_mobile
10081,Russia,40,Other,Artist,High School,39205.15,4.53,64,2.24,1.73,2.11,1.47,1.32,6.72,1.23,6.98,8.4,8.1,77.15,In Relationship,No,Rural,0.43,1.24,WiFi,Huawei,Yes,2.5,19.75,Yes,8,112,77.84,global_mobile
10082,Brazil,26,Female,Doctor,High School,41868.24,5.68,87,1.92,0.56,4.27,0.96,2.32,5.51,1.12,27.36,4.8,0.1,19.54,In Relationship,No,Urban,1.19,1.11,5G,Huawei,Yes,7.5,12.84,Yes,14,89,47.55,global_mobile
10083,USA,46,Female,Manager,Bachelor's,39494.59,4.61,109,1.97,1.24,2.36,0.95,1.11,6.77,1.33,94.44,1.7,5.1,50.02,In Relationship,No,Rural,1.48,0.35,WiFi,Xiaomi,Yes,7.5,26.3,No,13,44,28.01,global_mobile
10084,USA,59,Female,Teacher,Bachelor's,49427.11,6.8,31,1.81,2.72,2.64,1.71,2.44,5.14,0.94,79.7,8.6,5.2,84.52,In Relationship,Yes,Rural,1.19,0.0,4G,Other,Yes,2.5,33.24,Yes,14,75,54.3,global_mobile
10085,Mexico,12,Female,Teacher,,23264.34,9.8,88,2.53,1.3,3.14,1.82,2.49,6.05,0.39,0.28,5.9,1.2,94.93,Divorced,Yes,Urban,1.68,0.22,5G,Samsung,No,5.5,23.17,No,19,121,77.98,global_mobile
10086,Russia,45,Male,Engineer,,49187.32,4.96,94,1.24,0.64,2.58,1.52,2.77,7.94,0.94,16.4,1.9,4.9,83.53,Married,Yes,Rural,2.18,1.38,WiFi,Samsung,Yes,2.5,20.99,No,9,92,38.39,global_mobile
10087,Russia,12,Male,Unemployed,High School,33210.31,6.69,90,2.12,1.18,1.97,1.58,2.78,6.53,1.23,41.23,8.6,6.0,20.71,Divorced,Yes,Rural,0.35,1.35,5G,Xiaomi,Yes,2.5,36.31,No,20,86,14.96,global_mobile
10088,China,31,Female,Manager,High School,19853.02,7.48,57,0.78,2.53,3.32,1.96,2.19,6.41,1.88,13.82,3.4,8.4,71.97,Married,Yes,Urban,0.0,0.63,3G,OnePlus,Yes,9.5,17.64,No,20,126,3.5,global_mobile
10089,Russia,13,Female,Doctor,,45078.73,4.67,58,0.8,1.61,2.4,1.19,1.68,6.3,0.96,20.18,7.7,5.2,27.53,Divorced,No,Rural,2.47,0.72,4G,Other,Yes,2.5,7.47,No,17,107,30.23,global_mobile
10090,India,43,Male,Student,,40001.47,8.0,54,1.7,2.51,2.81,2.41,1.6,5.0,1.94,82.65,1.7,0.5,34.74,Married,Yes,Urban,0.51,1.27,4G,Other,Yes,2.5,12.85,Yes,12,80,89.22,global_mobile
10091,Germany,45,Other,Unemployed,PhD,22681.57,4.51,74,1.2,1.77,2.1,0.82,2.85,7.41,1.1,24.87,3.5,9.9,41.89,Married,Yes,Urban,1.33,1.31,3G,OnePlus,Yes,2.5,19.68,No,10,84,54.3,global_mobile
10092,UK,34,Male,Teacher,,37654.04,6.09,80,3.49,1.53,2.42,1.77,0.62,5.37,0.66,59.94,3.9,9.7,66.08,Married,No,Rural,0.47,1.25,5G,Huawei,No,5.5,13.4,Yes,12,80,4.15,global_mobile
10093,Mexico,41,Other,Unemployed,Master's,47500.35,7.27,51,2.02,1.41,2.96,0.75,2.89,7.16,0.52,27.59,6.3,4.5,34.64,Divorced,Yes,Urban,0.73,0.83,WiFi,Xiaomi,Yes,9.5,25.44,No,16,109,53.05,global_mobile
10094,USA,46,Male,Artist,High School,24913.49,9.73,113,2.01,0.51,1.01,2.05,1.88,7.42,1.47,54.86,8.5,1.1,1.23,Divorced,No,Urban,1.84,1.08,3G,OnePlus,No,5.5,18.08,Yes,15,108,82.69,global_mobile
10095,UK,65,Male,Engineer,High School,29245.43,9.15,61,1.78,2.55,1.62,1.43,3.54,7.28,0.9,19.26,1.8,6.3,1.79,Divorced,Yes,Rural,0.86,1.44,4G,Xiaomi,Yes,7.5,13.81,No,18,104,58.16,global_mobile
10096,Nigeria,61,Female,Unemployed,Bachelor's,47934.8,2.84,74,1.01,2.07,1.8,1.7,2.2,8.08,1.34,81.58,4.2,6.4,57.63,Married,No,Rural,0.44,0.36,3G,Huawei,No,5.5,16.09,Yes,11,124,10.4,global_mobile
10097,UK,68,Other,Artist,,62572.99,4.89,9,3.03,2.51,2.64,0.66,2.08,6.62,0.41,91.48,4.8,1.6,38.25,Married,No,Urban,1.36,1.32,WiFi,OnePlus,No,5.5,10.06,No,20,108,34.64,global_mobile
10098,UK,29,Female,Unemployed,High School,0.0,6.85,81,2.78,0.16,1.19,1.81,1.59,7.63,0.98,81.2,6.6,8.5,10.32,Divorced,Yes,Urban,0.05,0.53,5G,OnePlus,Yes,5.5,13.82,No,18,85,74.49,global_mobile
10099,Russia,33,Male,Unemployed,Master's,11015.03,7.67,51,1.63,1.11,0.96,2.63,0.91,6.67,0.6,9.33,0.9,2.7,14.66,Single,Yes,Rural,2.26,1.8,3G,Huawei,Yes,7.5,5.42,No,9,109,5.29,global_mobile
10100,Germany,44,Female,Manager,High School,45582.24,5.64,33,0.29,2.67,2.06,1.11,3.34,8.92,0.37,0.6,5.0,4.4,26.55,In Relationship,Yes,Rural,1.52,0.0,3G,OnePlus,Yes,7.5,28.74,Yes,17,137,99.51,global_mobile
10101,Japan,55,Female,Manager,,15099.6,3.88,98,2.73,1.76,0.72,1.5,2.34,5.24,0.69,20.28,0.5,1.0,36.84,Married,Yes,Rural,1.19,0.71,4G,Huawei,No,5.5,25.58,No,8,43,28.86,global_mobile
